"link_vacancy","vacancy_name","skills","create_time","salary","company","work_exp"
"https://spb.hh.ru/vacancy/47451361?from=vacancy_search_list&query=Python","Python Developer (Backend)","['Python', 'Git', 'MongoDB', 'Redis', 'RabbitMQ', 'docker', 'aiohttp', 'asyncio']","28 августа 2021","от 160 000 руб.","KVINT","1–3 года"
"https://spb.hh.ru/vacancy/47144838?from=vacancy_search_list&query=Python","Python-разработчик","['Python', 'MongoDB', 'Git', 'Linux', 'JavaScript']","29 августа 2021","от 60 000 до 100 000 руб.","Единая Информационная Система ЖКХ","1–3 года"
"https://spb.hh.ru/vacancy/47009543?from=vacancy_search_list&query=Python","Python Developer/ DevOps","['Английский\xa0— B1 — Средний', 'Git', 'Python', 'Java', 'Разработка ПО', 'C/C++', 'удаленная работа', 'devops']","30 августа 2021","от 140 000 до 220 000 руб.","МПК Софт","более 6 лет"
"https://spb.hh.ru/vacancy/47285268?from=vacancy_search_list&query=Python","Python Developer (Backend)","['Python', 'Django Framework', 'PostgreSQL', 'Redis', 'vue.js', 'GWT']","29 августа 2021","з/п не указана","Wargaming St. Petersburg (Lesta Studio)","1–3 года"
"https://spb.hh.ru/vacancy/47496895?from=vacancy_search_list&query=Python","Python Developer","['B2B', 'Python', 'Git', 'Flask']","30 августа 2021","от 30 000 до 100 000 руб.","Divo.ai","1–3 года"
"https://spb.hh.ru/vacancy/47495045?from=vacancy_search_list&query=Python","Python Developer","['Английский\xa0— B2 — Средне-продвинутый', 'Python', 'algorithms']","30 августа 2021","от 120 000 руб.","BrainGarden","1–3 года"
"https://spb.hh.ru/vacancy/47473302?from=vacancy_search_list&query=Python","Удаленный Python разработчик (Django)","['Python', 'Git', 'Django Framework']","30 августа 2021","от 100 000 руб.","Либерти","3–6 лет"
"https://spb.hh.ru/vacancy/46799794?from=vacancy_search_list&query=Python","Python Developer (Django)","['Python', 'Django Framework', 'Scrum', 'Git']","28 августа 2021","от 130 000 до 160 000 руб.","DAILO","3–6 лет"
"https://spb.hh.ru/vacancy/46412760?from=vacancy_search_list&query=Python","Python-разработчик","['Python', 'Django', 'Django REST Framework', 'PyTest', 'Git', 'Postgres', 'Linux', 'CI', 'Работа в команде']","29 августа 2021","от 130 000 руб.","FunBox","1–3 года"
"https://spb.hh.ru/vacancy/47488734?from=vacancy_search_list&query=Python","Специалист Computer Vision (Senior Data Scientist)","['Английский\xa0— B1 — Средний', 'pytorch', 'data science', 'tensorflow', 'gun', 'deep learning']","30 августа 2021","от 180 000 до 300 000 руб.","Медицинские Скрининг Системы","1–3 года"
"https://spb.hh.ru/vacancy/47250451?from=vacancy_search_list&query=Python","Python разработчик","['Python', 'Django Framework', 'PostgreSQL', 'RabbitMQ']","29 августа 2021","от 120 000 до 230 000 руб.","Coding Team","3–6 лет"
"https://spb.hh.ru/vacancy/47483633?from=vacancy_search_list&query=Python","Python developer","['Английский\xa0— A2 — Элементарный', 'Работа в условиях многозадачности', 'Умение работать в условиях многозадачности', 'Умение адаптироваться', 'Django Framework', 'Работа с большим объемом информации', 'Python', 'Умение работать в команде', 'Ведение переговоров', 'Грамотная речь', 'Английский язык', 'Коммуникабельность, ответственность']","30 августа 2021","до 120 000 руб.","ФОГСТРИМ","3–6 лет"
"https://spb.hh.ru/vacancy/46795567?from=vacancy_search_list&query=Python","Python-разработчик","['Python', 'Django', 'Django REST Framework', 'PyTest', 'Git', 'Postgres', 'Linux', 'Работа в команде', 'ML', 'Docker', 'CI/CD']","28 августа 2021","от 150 000 руб.","FunBox","1–3 года"
"https://spb.hh.ru/vacancy/47499211?from=vacancy_search_list&query=Python","Python-разработчик","['Английский\xa0— A1 — Начальный', 'Python', 'Atlassian Jira', 'PostgreSQL']","30 августа 2021","от 200 000 руб.","Новакид РУС","3–6 лет"
